Ranking,Id,VesId,IMONum,RefNum,ShipName,YearBuilt,MonthBuilt,Type,Length,RepLength,Draught,GearSWLLargest,GearTypeLargest,PrplsnUnits,PropellerType,SvcSpeed,DWT,RepresentDWT,GT,RepresentGT,ROROLnLnth,ROROLnHt,Decks,Cars,RampSWL,Pax,ROROLnWidth,RORORampPosition,TEU,EnginesNumber,EngineDesign,EngineModel,Shipbuilder,EngBuilder,AuxNumEngBuilder,AuxNumEngDesign,AuxNumEngModel,GenNumber,GenKW,ProplnType,NewbldPrice,SalePrice,SaleDate,Crew,CountryBuilt,RegisteredOwner,Flag,Age,DWT_ThrougPut,GT_ThroughPut,DollarPerDWT,DollarPerGT,ImageURL,ROROName,PerComplete,FlagUrl,Country,ISO2,Built,CLINStatus,AgeValue,AgeRankPercent,DwtTptRankPercent,GtTptRankPercent,SpeedRankPercent,RepDwtRankPercent,GTRankPercent,LengthRankPercent,WeightedRanking
1,487,523,9670602,4115047,ATLANTIC SKY,2017,3,Container/Ro-Ro Cargo Ship,296,290.5,11.5,0,,1,Fixed Pitch,18,55828,54717,100430,99319,5270,7.4,7,1307,420,0,0,Starboard Aft: 1,3817,1,Wartsila,8RT-flex68D,Hudong-Zhonghua Shipbuilding,Hudong Heavy Machinery Co Ltd - China,Yanmar,Yanmar,EY26LW,4,8748,Oil Engine(s) Direct Drive,$0 ,,,0,China People's Republic Of,ACL Vessel Four H1698A AB,United Kingdom,3,4823.5392,8677.152,0,0,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=3753096,ATLANTIC SKY,"<div class=""progress-bar"" role=""progressbar"" style=""width: 94.389937%;"" aria-valuenow=""94.389937"" aria-valuemin=""0"" aria-valuemax=""100"">94%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/180px-Flag_of_the_United_Kingdom.svg.png,United Kingdom,GB,2017-03,CLIN-0006,42,93.333333,100,100,67.924528,100,100,100,94.389937
2,488,524,9670614,4115059,ATLANTIC SUN,2017,5,Container/Ro-Ro Cargo Ship,296,290.5,11.5,0,,1,Fixed Pitch,18,55547,54436,100430,99319,5270,7.4,7,1307,420,0,0,Starboard Aft: 1,3817,1,Wartsila,8RT-flex68D,Hudong-Zhonghua Shipbuilding,Hudong Heavy Machinery Co Ltd - China,Yanmar,Yanmar,EY26LW,4,8748,Oil Engine(s) Direct Drive,$0 ,,,0,China People's Republic Of,Atlantic Container Line AB,United Kingdom,3,4799.2608,8677.152,0,0,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=3758287,ATLANTIC SUN,"<div class=""progress-bar"" role=""progressbar"" style=""width: 94.221479%;"" aria-valuenow=""94.221479"" aria-valuemin=""0"" aria-valuemax=""100"">94%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/180px-Flag_of_the_United_Kingdom.svg.png,United Kingdom,GB,2017-05,CLIN-0003,42,93.333333,99.496668,100,67.924528,99.486448,100,100,94.221479
3,486,522,9670597,4115042,ATLANTIC SEA,2016,6,Container/Ro-Ro Cargo Ship,296,290.5,11.5,0,,1,Fixed Pitch,18,55738,54627,100430,99319,5270,7.4,7,1307,420,0,0,Starboard Aft: 1,3817,1,Wartsila,8RT-flex68D,Hudong-Zhonghua Shipbuilding,Hudong Heavy Machinery Co Ltd - China,Yanmar,Yanmar,EY26LW,4,8748,Oil Engine(s) Direct Drive,$0 ,,,0,China People's Republic Of,ACL Vessel Three H1697A AB,United Kingdom,4,4815.7632,8677.152,0,0,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=3196872,ATLANTIC SEA,"<div class=""progress-bar"" role=""progressbar"" style=""width: 93.891538%;"" aria-valuenow=""93.891538"" aria-valuemin=""0"" aria-valuemax=""100"">93%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/180px-Flag_of_the_United_Kingdom.svg.png,United Kingdom,GB,2016-06,CLIN-0003,41,91.111111,99.838791,100,67.924528,99.835517,100,100,93.891538
4,485,521,9670585,4115030,ATLANTIC SAIL,2016,3,Container/Ro-Ro Cargo Ship,296,290.5,11.5,0,,1,Fixed Pitch,18,55631,54520,100430,99319,5270,7.4,7,1307,420,0,0,Starboard Aft: 1,3817,1,Wartsila,8RT-flex68D,Hudong-Zhonghua Shipbuilding,Hudong Heavy Machinery Co Ltd - China,Yanmar,Yanmar,EY26LW,4,8748,Oil Engine(s) Direct Drive,$0 ,,,0,China People's Republic Of,Grimaldi Deep Sea SpA,United Kingdom,4,4806.5184,8677.152,0,0,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=3735368,ATLANTIC SAIL,"<div class=""progress-bar"" role=""progressbar"" style=""width: 93.827392%;"" aria-valuenow=""93.827392"" aria-valuemin=""0"" aria-valuemax=""100"">93%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/180px-Flag_of_the_United_Kingdom.svg.png,United Kingdom,GB,2016-03,CLIN-0003,41,91.111111,99.64713,100,67.924528,99.639966,100,100,93.827392
5,484,520,9670573,4115018,ATLANTIC STAR,2015,10,Container/Ro-Ro Cargo Ship,296,290.5,11.5,0,,1,Fixed Pitch,18,55649,54538,100430,99319,5270,7.4,7,1307,420,0,0,Starboard Aft: 1,3817,1,Wartsila,8RT-flex68D,Hudong-Zhonghua Shipbuilding,Hudong Heavy Machinery Co Ltd - China,Yanmar,Yanmar,EY26LW,4,8748,Oil Engine(s) Direct Drive,$0 ,,,0,China People's Republic Of,ACL Vessel One H1695A AB,United Kingdom,5,4808.0736,8677.152,0,0,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=3372096,ATLANTIC STAR,"<div class=""progress-bar"" role=""progressbar"" style=""width: 93.393738%;"" aria-valuenow=""93.393738"" aria-valuemin=""0"" aria-valuemax=""100"">93%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/180px-Flag_of_the_United_Kingdom.svg.png,United Kingdom,GB,2015-10,CLIN-0003,40,88.888889,99.679372,100,67.924528,99.672862,100,100,93.393738
6,387,417,9515383,3959828,TONSBERG,2011,3,Vehicles Carrier,265,259.5,12.3,0,,1,Fixed Pitch,20.7,41820,40709,75251,74140,0,7.1,9,5990,505,0,0,Starboard Aft: 1,0,1,MAN-B&W,7L70ME-C8,Mitsubishi Nagasaki,Kawasaki Heavy Industries Ltd - Japan,Daihatsu Diesel,Daihatsu,6DC32,4,8180,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,Wilhelmsen Lines Shipowning,Malta,9,4155.2352,7476.93936,0,0,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=415185,TONSBERG,"<div class=""progress-bar"" role=""progressbar"" style=""width: 82.525676%;"" aria-valuenow=""82.525676"" aria-valuemin=""0"" aria-valuemax=""100"">82%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/150px-Flag_of_Malta.svg.png,Malta,MT,2011-03,,36,80,86.144945,86.168127,78.113208,74.399181,74.648355,89.527027,82.525676
7,389,419,9515400,3959845,TYSLA,2012,1,Vehicles Carrier,265,259.5,12.3,0,,1,Fixed Pitch,19.8,43878,42767,75251,74140,0,7.1,9,5990,505,0,0,Starboard Aft: 1,0,1,MAN-B&W,7L70ME-C8,Mitsubishi Nagasaki,Kawasaki Heavy Industries Ltd - Japan,Daihatsu Diesel,Daihatsu,6DC-32,4,8180,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,Wilhelmsen Lines Shipowning,Malta,8,4170.16512,7151.85504,0,0,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=848806,TYSLA,"<div class=""progress-bar"" role=""progressbar"" style=""width: 82.101286%;"" aria-valuenow=""82.101286"" aria-valuemin=""0"" aria-valuemax=""100"">82%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/150px-Flag_of_Malta.svg.png,Malta,MT,2012-01,CLIN-0001,37,82.222222,86.454467,82.421687,74.716981,78.160352,74.648355,89.527027,82.101286
8,390,420,9515412,3959857,SALOME,2012,6,Vehicles Carrier,265,259.5,12.3,0,,1,Fixed Pitch,19.8,43878,42767,75251,74140,0,7.1,9,5990,505,0,0,Starboard Aft: 1,0,1,MAN-B&W,7L70ME-C8,Mitsubishi Nagasaki,Kawasaki Heavy Industries Ltd - Japan,Daihatsu Diesel,Daihatsu,6DC32,4,8180,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,WWL Shipowning Singapore Pte,Singapore,8,4170.16512,7151.85504,0,0,,SALOME,"<div class=""progress-bar"" role=""progressbar"" style=""width: 82.101286%;"" aria-valuenow=""82.101286"" aria-valuemin=""0"" aria-valuemax=""100"">82%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Singapore.svg/150px-Flag_of_Singapore.svg.png,Singapore,SG,2012-06,,37,82.222222,86.454467,82.421687,74.716981,78.160352,74.648355,89.527027,82.101286
9,388,418,9515395,3959840,PARSIFAL,2011,8,Vehicles Carrier,265,259.5,12.3,0,,1,Fixed Pitch,19.6,43878,42767,75251,74140,0,7.1,9,5990,505,0,0,Starboard Aft: 1,0,1,MAN-B&W,7L70ME-C8,Mitsubishi Nagasaki,Kawasaki Heavy Industries Ltd - Japan,Daihatsu Diesel,Daihatsu,6DC32,4,8180,Oil Engine(s) Direct Drive,$0 ,,,0,Japan,WWL Shipowning Singapore Pte,Singapore,9,4128.04224,7079.61408,0,0,,PARSIFAL,"<div class=""progress-bar"" role=""progressbar"" style=""width: 81.156830%;"" aria-valuenow=""81.156830"" aria-valuemin=""0"" aria-valuemax=""100"">81%</div>",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Singapore.svg/150px-Flag_of_Singapore.svg.png,Singapore,SG,2011-08,,36,80,85.58119,81.589144,73.962264,78.160352,74.648355,89.527027,81.15683
10,479,515,9668960,4113405,MSC COBALTO,2015,2,Ro-Ro Cargo Ship,240,234.5,11.5,0,,1,Fixed Pitch,20,44574,43463,51055,49944,6350,7,3,,350,0,0,Starboard Aft: 1,3001,1,MAN-B&W,7L70ME-C8,STX Offshore & Shbldg - Jinhae,STX Engine Co Ltd - South Korea,,,,5,8480,Oil Engine(s) Direct Drive,"$7,35,00,000 ",,,0,Korea South,Ignazio Messina & C SpA,Italy,5,4279.104,4901.28,1691.093574,1471.648246,https://photos.marinetraffic.com/ais/showphoto.aspx?photoid=3380229,MSC COBALTO,"<div class=""progress-bar"" role=""progressbar"" style=""width: 76.847762%;"" aria-valuenow=""76.847762"" aria-valuemin=""0"" aria-valuemax=""100"">76%</div>",https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/150px-Flag_of_Italy.svg.png,Italy,IT,2015-02,CLIN-0001,40,88.888889,88.712952,56.484893,75.471698,79.432352,50.286451,81.081081,76.847762
